title,price,old_price,discount,rating
Infinix Hot 30 - 6.78'' - 256GB +  8GB RAM - 50MP Camera - 5000mAh +NICE GIFTS,"KSh 14,999","KSh 30,000",50%,
"Tecno CAMON 20 Pro, 6.67""256GB ROM+8GB RAM (Dual SIM)4G,5000mAh,Black, PLUS F9,LIGHT","KSh 25,499","KSh 30,000",15%,5 out of 5
"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 MAh, 4G, Dual SIM - Horizon Gold","KSh 12,140","KSh 14,000",13%,4.2 out of 5
"Infinix Hot 30, 6.78"",256GB+8GB RAM (Upto16GB),Dual SIM, 5000mAh,BK+ ESSENTIALS./CLLY//","KSh 14,999","KSh 30,000",50%,4 out of 5
Flame Super Fast Type-C to Type-C High Speed  Data Cable,KSh 899,"KSh 1,699",47%,
"Phone Case For Samsung S9 Plus \S9+ , Clear Case",KSh 999,"KSh 1,500",33%,
Pzx 10400Mah Portable Smart Power Bank,"KSh 1,585","KSh 2,500",37%,
Phone Case For Samsung S21 Case ( Hard Cover ),KSh 999,"KSh 1,500",33%,
Hikvision 8 HD 2MP Colored Day & Night CCTV Cameras Full Kit-(With 1TB HDD +100M Cable + 8 Channel DVR + With Audio),"KSh 44,261","KSh 57,800",23%,
SALAD/COOKING DISPENSER (TERMINAL) - A-T-M 20L,"KSh 29,499","KSh 32,000",8%,4 out of 5
Iphone Earphone,"KSh 1,199","KSh 1,999",40%,
"TCL 55"" C645&nbsp;QLED 4K Quantum Dot Google TV Smart TV - Black","KSh 63,199","KSh 70,999",11%,1 out of 5
"Infinix NOTE 30 PRO, 256ROM+8GB RAM, DISPLAY 6.78"" FHD+ 5000MAH-4G,+F9 EARBUDS/CLY//","KSh 21,999","KSh 35,000",37%,3.3 out of 5
"Nilkin Phone Case For Samsung Galaxy Note 20 Ultra Case, Slim Note 20 Ultra Protective Case with Slide Camera","KSh 1,950","KSh 2,500",22%,
Replacement Battery For HP EliteBook 2530P 2540P,"KSh 2,699","KSh 3,500",23%,3 out of 5
Phone Case For Book Cover Case Galaxy Tab A 7 Lite,"KSh 1,199","KSh 1,500",20%,
"Amtec 32R1S,FRAMLESS 32"" Inch Bluetooth SmartAndroid TVNetflixYoutube+TVGuard+Bracket","KSh 13,999","KSh 20,000",30%,3.8 out of 5
Tuya Smart Life WIFI GSM Alarm System Home Security 433MHz Wireless (set 3),"KSh 19,950","KSh 25,000",20%,
Phone Case For Smartview Flip For Samsung S21 Ultra With Sensor,"KSh 5,499","KSh 6,000",8%,5 out of 5
Oraimo  HALO 4 Super Bass  In-Ear Earphone,KSh 899,"KSh 1,200",25%,5 out of 5
Stickers Blue Butterfly Laptop Skin/Wrap/sticker  Universal.,"KSh 664 - KSh 1,500","KSh 1,100 - KSh 2,500",46%,2.5 out of 5
Samsung 25W PD SuperFast Charging USB TYPE C Plug Alone EU,KSh 799,"KSh 1,450",45%,5 out of 5
"Vivo V25 5G Diamond Black 64MP Camera, 8GB + 8GB Extended RAM,256GB ROM,4500mAh (2YR WRTY)","KSh 24,999","KSh 45,999",46%,4.7 out of 5
Phone Case For Samsung S20 Clear Cover,KSh 999,"KSh 1,500",33%,5 out of 5
Plating Magsafe Case For Samsung Galaxy S21+ 5G Wireless Charging Magnetic Transparent Case With Lens Protection Cover,"KSh 1,388","KSh 2,000",31%,
"Wireless Original Wireless XBASS Headphones Bluetooth V5.0 Bluetooth Over-Ear Headphones,07s Wireless Noise Cancelling Headset With Microphone, Soft Earmuffs &Light Weight, Compatible For TV/PC/Phone","KSh 2,592","KSh 3,907",34%,4.5 out of 5
Business S209 Bluetooth 5.0 Anti-Sweat Wireless Ear-Hook Headset With Microphone For Noise Cancelling Hands-Free Driving Calls,KSh 900,"KSh 1,760",49%,
Phone Case For Full Coverage Soft Silicon Protective Back Cover With Camera Protection For Samsung Galaxy A33 5G,KSh 699,"KSh 1,200",42%,
4-in-1 USB Type C Multiport Adapter Hub,"KSh 5,699",,,
"Vivo V25 5G Aquamarine Blue 64MP Camera, 8GB + 8GB Extended RAM,256GB ROM,4500mAh (2YR WRTY)","KSh 24,999","KSh 45,999",46%,5 out of 5
Powerbank 30000mAh Fast Charging Portable,"KSh 1,600","KSh 2,500",36%,4.1 out of 5
Qkz AK6 Universal 3.5mm HiFi Sport Headphones In Ear,KSh 590,KSh 885,33%,
TCL Universal Remote Control,"KSh 1,099",,,
"Vitron HTC5568S,55"" inch FRAMELESS- 4K ULTRA HD Smart& Digital - Android 11 TV, Netflix, Youtube Bluetooth+GIFTS","KSh 46,990","KSh 80,000",41%,5 out of 5
"Universal Worldwide Travel Adapter for 150+ Countries, International Power Charger, European Adapter, Wall Charger Power Plug for USA EU UK AUS Compatible w/ iPhone, iPad, Samsung Galaxy & More","KSh 1,399","KSh 1,999",30%,
Google Chromecast With GoogleTV and remote -HD 4th Gen,"KSh 8,999","KSh 12,000",25%,
Phone Case For Soft Silicone Back Cover Case For Samsung Galaxy S23 Plus 5G,KSh 970,"KSh 1,500",35%,
Infinix Hot 30 - 6.78'' - 256GB +  8GB RAM - 50MP Camera - 5000mAh +CELLINY 10,"KSh 13,899","KSh 27,000",49%,
"Infinix NOTE 30 PRO, 256ROM+8GB RAM, DISPLAY 6.78"" FHD+ 5000MAH-4G,BLk,+ALL GIFTS/CLY/","KSh 21,999","KSh 35,000",37%,5 out of 5
Phone Case For Case Compatible with Samsung Galaxy Note 10 Lite -Good quality silicone,KSh 999,"KSh 1,500",33%,
